# path	sha256	summary	processed_at
# Managed by scripts/check_source_summaries.sh. Do not edit by hand except to
# delete a stale row after removing both the raw file and its summary.
example/sample-source.md	30bbc02ef763a3e2092c7bb2a7ae58c0eb63ffbe67d6fc2ad4aa09a9bebfe7f1	example/sample-source.md	2026-07-04
Rex Black - Agile Testing Foundations.  An ISTQB Foundation Level Agile Tester Guide-BCS (2017).pdf	8174b0b38bee17131ce3ef52e391a06d45ac94d1b2bb1e8a23b853219891348a	Rex Black - Agile Testing Foundations.  An ISTQB Foundation Level Agile Tester Guide-BCS (2017).md	2026-07-09
